yourlist:M202204236320BA52A5CE8FCD097CB85A53697A354B13ABC	Entry	Entry name	Protein names	Gene names	Length
ENSSSCG00000013721	A0A5G2QMG8	A0A5G2QMG8_PIG	PAT complex subunit Asterix (Protein associated with the ER translocon of 10kDa)	WDR83OS	100
ENSSSCG00000013721	A0A5G2RMN9	A0A5G2RMN9_PIG	PAT complex subunit Asterix (Protein associated with the ER translocon of 10kDa)	WDR83OS	110
ENSSSCG00000013721	F1SEY0	F1SEY0_PIG	PAT complex subunit Asterix (Protein associated with the ER translocon of 10kDa)	WDR83OS	106
ENSSSCG00000022467	I3L9U3	I3L9U3_PIG	V-set pre-B cell surrogate light chain 1	VPREB1	148
ENSSSCG00000000033	A0A287AS84	A0A287AS84_PIG	Peripheral-type benzodiazepine receptor (Translocator protein)	TSPO	132
ENSSSCG00000000033	F1SJR8	F1SJR8_PIG	Peripheral-type benzodiazepine receptor (Translocator protein)	TSPO	169
ENSSSCG00000013573	F1SCJ1	F1SCJ1_PIG	Trafficking protein particle complex subunit 5	TRAPPC5	188
ENSSSCG00000015384	A1XQS2	TOM7_PIG	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	TOMM7	55
ENSSSCG00000002790	A0A287BP85	A0A287BP85_PIG	Transmembrane protein 208	TMEM208	140
ENSSSCG00000002790	F1RFV1	F1RFV1_PIG	Transmembrane protein 208	TMEM208	177
ENSSSCG00000003109	F1RM05	F1RM05_PIG	Transmembrane protein 160	TMEM160	188
ENSSSCG00000012912	A0A286ZU88	A0A286ZU88_PIG	Carabin isoform 1 (TBC1 domain family member 10C)	TBC1D10C	404
ENSSSCG00000012912	A0A287A724	A0A287A724_PIG	TBC1 domain family member 10C	TBC1D10C	440
ENSSSCG00000012912	A0A287B7E3	A0A287B7E3_PIG	TBC1 domain family member 10C	TBC1D10C	421
ENSSSCG00000012912	A0A287BMF9	A0A287BMF9_PIG	TBC1 domain family member 10C	TBC1D10C	458
ENSSSCG00000012912	F1RUY8	F1RUY8_PIG	TBC1 domain family member 10C	TBC1D10C	439
ENSSSCG00000023562	A0A286ZJ31	A0A286ZJ31_PIG	Small nuclear ribonucleoprotein E	SNRPE	52
ENSSSCG00000023562	I3LDW9	I3LDW9_PIG	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E)	SNRPE	92
ENSSSCG00000028167	A0A5G2QQ58	A0A5G2QQ58_PIG	SRA stem-loop interacting RNA binding protein	SLIRP	147
ENSSSCG00000028167	I3LKV0	I3LKV0_PIG	SRA stem-loop interacting RNA binding protein	SLIRP	99
ENSSSCG00000005312	A0A287AMB7	A0A287AMB7_PIG	Signaling threshold regulating transmembrane adaptor 1 (Signaling threshold-regulating transmembrane adapter 1)	SIT1	186
ENSSSCG00000005312	F1SG04	F1SG04_PIG	Signaling threshold regulating transmembrane adaptor 1	SIT1	222
ENSSSCG00000024389	I3LD75	I3LD75_PIG	Single Ig and TIR domain containing	SIGIRR	410
ENSSSCG00000007312	F1S487	F1S487_PIG	SCAN domain-containing protein 1 isoform 1	SCAND1	179
ENSSSCG00000006578	F1SFV7	F1SFV7_PIG	Protein S100 (S100 calcium-binding protein)	S100A4	101
ENSSSCG00000029785	A0A287BPF2	A0A287BPF2_PIG	40S ribosomal protein S9	RPS9	149
ENSSSCG00000029785	I3LEX0	I3LEX0_PIG	40S ribosomal protein S9	RPS9	194
ENSSSCG00000013597	Q6QAT1	RS28_PIG	40S ribosomal protein S28	RPS28	69
ENSSSCG00000014133	A0A5G2QXF6	A0A5G2QXF6_PIG	40S ribosomal protein S23	RPS23	113
ENSSSCG00000014133	F2Z512	F2Z512_PIG	40S ribosomal protein S23	RPS23	143
ENSSSCG00000021825	P63221	RS21_PIG	40S ribosomal protein S21	RPS21	83
ENSSSCG00000003042	A0A286ZX70	A0A286ZX70_PIG	40S ribosomal protein S19	RPS19	196
ENSSSCG00000003042	F1RGG1	F1RGG1_PIG	40S ribosomal protein S19	RPS19	155
ENSSSCG00000004177	P46405	RS12_PIG	40S ribosomal protein S12	RPS12	132
ENSSSCG00000027573	Q95281	RL29_PIG	60S ribosomal protein L29	RPL29	160
ENSSSCG00000027573	A0A287ANI9	A0A287ANI9_PIG	60S ribosomal protein L29	RPL29	255
ENSSSCG00000027573	A0A5G2R9H7	A0A5G2R9H7_PIG	60S ribosomal protein L29	RPL29	60
ENSSSCG00000025928	Q95342	RL18_PIG	60S ribosomal protein L18	RPL18	195
ENSSSCG00000025928	A0A286ZLX0	A0A286ZLX0_PIG	60S ribosomal protein L18	RPL18	170
ENSSSCG00000025928	A0A5G2QR95	A0A5G2QR95_PIG	60S ribosomal protein L18	RPL18	133
ENSSSCG00000025928	A0A5G2QVU1	A0A5G2QVU1_PIG	60S ribosomal protein L18	RPL18	162
ENSSSCG00000025928	A0A5G2QVW0	A0A5G2QVW0_PIG	60S ribosomal protein L18	RPL18	194
ENSSSCG00000025928	A0A5G2R5R3	A0A5G2R5R3_PIG	60S ribosomal protein L18	RPL18	159
ENSSSCG00000025928	A0A5S8L0N9	A0A5S8L0N9_PIG	60S ribosomal protein L18	RPL18	219
ENSSSCG00000024974	A0A287BK22	A0A287BK22_PIG	60S ribosomal protein L13	RPL13	164
ENSSSCG00000024974	I3LSD3	I3LSD3_PIG	60S ribosomal protein L13	RPL13	211
ENSSSCG00000023886	I3LFZ2	I3LFZ2_PIG	Replication protein A3	RPA3	121
ENSSSCG00000012979	F1RRK5	F1RRK5_PIG	Ribonuclease H2 subunit C	RNASEH2C	167
ENSSSCG00000003046	A0A5G2QIM1	A0A5G2QIM1_PIG	PRA1 family protein	RABAC1	151
ENSSSCG00000003046	A0A5G2R295	A0A5G2R295_PIG	PRA1 family protein	RABAC1	185
ENSSSCG00000003046	F1RMX2	F1RMX2_PIG	PRA1 family protein	RABAC1	203
ENSSSCG00000015735	A0A287BMT5	A0A287BMT5_PIG	Protein tyrosine phosphatase non-receptor type 18	PTPN18	441
ENSSSCG00000015735	A0A5G2QVV7	A0A5G2QVV7_PIG	Protein tyrosine phosphatase non-receptor type 18	PTPN18	347
